,p1,p2,p3,p4,p6,p7
bell_FFS1,4,3,3,2,5,2
box_opening_sound_FFS1,1,1,1,1,2,5
clock_ticking_FFS1,1,3,3,2,3,2
creaking_chair_FFS1,1,1,1,2,2,5
crowd_babble_FFS1,1,4,4,1,5,2
fabric_brushing_FFS1,1,1,1,1,5,5
female_voice_a_FFS1,2,5,2,3,1,1
footsteps_FFS1,3,1,1,1,5,2
horses_hooves_a_FFS1,3,3,3,2,5,2
horses_hooves_b_FFS1,3,3,3,2,5,2
impact_of_object_on_table_FFS1,5,1,1,1,3,5
male_voice_a_FFS1,2,5,2,3,1,1
male_voice_b_FFS1,2,5,2,3,1,1
motor_car_FFS1,1,2,1,1,5,2
rustling_of_paper_FFS1,1,1,1,1,2,5
scraping_FFS1,1,1,1,1,2,5
snipping_FFS1,1,2,1,1,2,5
strings_FFS1,4,6,5,5,4,3
bird_squark_FFS2,6,2,1,1,3,1
bird_voice_FFS2,8,2,1,1,3,1
closing_curtains_FFS2,1,1,1,1,3,5
closing_watch_FFS2,1,1,1,1,1,5
creaking_of_basket_FFS2,1,1,1,1,3,5
creaking_window_FFS2,1,2,1,4,3,4
door_closing_FFS2,5,1,1,1,3,5
door_creaking_FFS2,1,2,1,1,3,5
door_lock_FFS2,5,2,1,1,2,5
door_opening_FFS2,5,1,1,1,2,5
female_voice_b_FFS2,2,5,2,3,1,1
footsteps_on_stairs_FFS2,3,1,1,1,2,5
impact_of_basket_on_table_FFS2,5,1,1,1,2,5
impact_of_watch_on_table_FFS2,5,1,1,1,2,5
jangling_keys_FFS2,1,1,1,1,2,5
jangling_of_watch_chain_FFS2,1,1,1,1,2,5
male_voice_a_FFS2,2,5,2,3,1,1
rain_FFS2,1,4,4,2,3,2
rattle_of_lamp_FFS2,1,1,1,1,2,5
strings_FFS2,4,6,5,5,4,3
synth_pad_FFS2,4,6,5,5,4,3
thud_FFS2,1,2,3,4,1,4
vibraphone_FFS2,4,6,5,5,4,3
woodwind_FFS2,4,6,5,5,4,3
birdsong_FFS3,1,4,4,2,5,2
cart_wheels_FFS3,1,1,3,1,2,5
footsteps_FFS3,3,1,1,1,2,5
hooves_FFS3,3,1,1,1,2,5
horse_breathing_FFS3,1,2,3,1,5,5
horse_grunt_FFS3,6,2,1,1,3,5
jangling_coins_FFS3,1,1,1,1,2,5
male_voice_a_FFS3,2,5,2,3,1,1
male_voice_c_FFS3,2,5,2,3,1,1
reins_FFS3,1,2,3,1,5,5
rustle_of_paper_FFS3,1,1,1,1,2,5
strings_FFS3,4,6,5,5,4,3
wind_FFS3,1,4,4,2,5,2
wind_whistling_FFS3,1,3,4,2,4,2
birds_FFS4,6,3,4,2,5,2
cart_wheels_FFS4,1,1,1,1,2,5
crow_cawing_FFS4,6,2,4,2,3,4
door_creaking_FFS4,1,2,1,1,3,5
footsteps_FFS4,3,1,1,1,3,5
hooves_FFS4,3,1,1,1,2,5
horse_snorting_FFS4,6,2,1,1,2,5
impact_of_breifcase_FFS4,5,1,1,1,2,5
jangling_keys_FFS4,1,1,1,1,2,5
opening_door_FFS4,5,1,1,1,2,5
strings_FFS4,1,6,5,5,4,3
unlocking_door_FFS4,1,2,1,1,2,5
wind_FFS4,1,6,4,2,5,2
birdsong_FFS5,6,3,4,2,5,2
breathing_FFS5,1,2,2,1,1,5
creak_of_stairs_FFS5,1,1,1,1,3,5
creaking_upstairs_FFS5,1,4,3,4,1,4
crow_cawing_FFS5,6,2,1,1,3,5
crow_flapping_FFS5,5,2,1,1,3,5
crumping_paper_FFS5,1,1,1,1,2,5
door_creaking_FFS5,1,2,1,1,3,5
door_rattling_FFS5,5,1,1,1,1,5
fabric_brushing_FFS5,1,1,1,1,2,5
fire_crackling_FFS5,1,4,1,1,4,5
footsteps_FFS5,3,1,1,1,1,4
footsteps_on_stairs_FFS5,3,1,1,1,2,5
glass_smashing_FFS5,5,4,3,1,5,5
harpsicord_FFS5,4,6,5,5,4,3
hf_ringing_FFS5,1,4,4,5,4,3
hf_whisper_FFS5,1,4,4,5,4,3
impact_of_lantern_on_floor_FFS5,5,1,1,1,2,5
impact_of_object_on_desk_FFS5,1,2,1,1,2,5
male_voice_a_FFS5,2,5,2,3,1,1
moving_chair_FFS5,1,1,1,1,2,5
music_box_FFS5,4,4,3,4,1,4
rustle_of_nest_FFS5,1,1,1,1,2,5
rustling_of_baby_bird_FFS5,1,1,1,1,1,5
shufflings_cards_FFS5,1,1,1,1,2,5
strings_FFS5,4,6,5,5,4,3
thud_as_door_kicked_FFS5,5,1,1,1,2,5
thud_upstairs_FFS5,5,4,3,4,1,4
whispering_FFS5,1,4,4,4,4,3
wind_whistling_FFS5,1,4,4,2,4,2
window_opening_FFS5,5,1,1,1,2,5
woodwind_FFS5,4,6,5,5,4,3
birdsong_FFS6,6,3,4,2,5,2
breathing_FFS6,1,2,2,1,3,5
child_shouting_FFS6,2,2,3,4,1,1
childs_voice_a_FFS6,2,4,2,4,1,1
childs_voice_b_FFS6,2,4,2,4,1,1
door_closing_FFS6,1,2,1,1,1,5
door_creaking_FFS6,1,2,1,1,3,5
female_scream_FFS6,2,4,3,4,1,4
footsteps_FFS6,3,1,1,1,2,5
hooves_FFS6,3,2,3,1,1,4
horse_neighing_FFS6,6,4,3,4,3,4
howling_sound_FFS6,1,4,3,2,4,3
impact_sound_FFS6,5,2,5,5,4,3
lf_rumbling_FFS6,1,3,5,5,4,3
male_voice_a_FFS6,2,5,2,3,1,1
male_voice_shouting_FFS6,2,4,2,4,1,1
screaming_FFS6,7,4,3,4,1,1
strings_FFS6,4,6,5,5,4,3
wind_FFS6,1,3,4,2,5,2
chair_moving_FFS7,1,1,1,1,2,5
clock_ticking_FFS7,1,4,3,2,4,2
creaking_sounds_FFS7,1,4,3,2,4,4
dog_barking_FFS7,6,2,1,1,1,5
dog_growling_FFS7,6,2,1,1,3,5
fire_crackling_FFS7,1,3,3,2,5,2
hf_whispering_FFS7,1,4,4,2,4,3
lf_rumble_FFS7,1,3,5,5,4,3
screeching_FFS7,1,4,4,2,4,3
synth_pad_FFS7,4,3,5,5,4,3
clockwork_monkey_FFS8,7,2,1,1,1,5
creaking_FFS8,1,1,1,1,3,5
crumpling_of_wallpaper_FFS8,1,1,1,1,3,5
flickering_of_candle_FFS8,1,2,1,1,2,5
footsteps_FFS8,3,1,1,1,2,5
hf_whispering_FFS8,1,4,4,5,4,3
impact_of_candle_on_shelf_FFS8,5,2,1,1,2,5
lf_rumble_FFS8,1,3,5,5,4,3
paper_falling_on_floor_FFS8,1,1,1,1,2,5
ripping_wallpaper_FFS8,7,1,1,1,2,5
scraping_of_hand_on_wallpaper_FFS8,1,2,1,1,2,5
synth_pad_FFS8,4,3,5,5,4,3
