,p1,p2,p3,p4,p6,p7
applause_LES1,7,4,3,1,3,4
ball_kick_LES1,2,1,1,3,1,1
bell_LES1,4,1,1,1,1,4
commentator_LES1,5,6,2,4,1,2
crowd_chanting_LES1,1,4,3,1,3,4
crowd_cheering_LES1,1,5,3,2,2,4
crowd_singing_LES1,1,3,3,1,3,4
male_voice_aaaa_LES1,6,1,1,1,3,4
male_voice_oooo_LES1,6,1,1,1,3,4
referees_whistle_LES1,4,1,1,3,1,3
rhythmic_clapping_LES1,1,3,1,1,2,4
shouting_LES1,1,4,1,1,3,4
appluase_LES2,1,5,3,2,3,4
bass_LES2,3,3,4,3,1,1
brass_LES2,3,3,4,3,1,1
hi_hat_LES2,3,3,5,3,1,1
impact_sound_LES2,2,7,1,1,3,4
individually_identifiable_claps_LES2,7,2,1,2,3,4
piano_LES2,3,3,4,3,1,1
saxophone_LES2,3,3,4,3,1,1
voice_of_mc_LES2,5,6,2,4,1,2
whistling_LES2,4,2,1,2,3,4
applause_LES3,1,4,3,2,3,4
big_roar_of_crowd_as_goal_is_scored_LES3,1,5,3,2,2,4
commentator_LES3,5,6,2,4,1,2
crowd_chanting_LES3,1,4,3,1,3,4
crowd_cheering_LES3,1,5,3,2,2,4
crowd_singing_LES3,1,3,3,1,3,4
horn_LES3,7,8,1,1,3,4
individually_identifiable_claps_LES3,2,2,1,2,3,4
referees_whistle_LES3,4,1,1,3,1,3
stadium_announcer_LES3,5,2,2,1,1,4
voices_in_crowd_LES3,7,2,1,1,3,4
whistling_LES3,4,2,1,1,3,4
applause_LES4,1,5,3,2,3,4
childs_voice_LES4,6,2,1,1,3,4
coughs_LES4,6,1,1,1,3,4
crowd_cheering_LES4,1,5,3,2,2,4
crowd_shouting_LES4,1,1,1,1,3,4
crowd_whistling_LES4,1,5,3,2,3,4
female_commentator_LES4,5,6,2,4,1,2
footsteps_LES4,7,2,1,3,3,1
grunt_LES4,2,1,2,3,2,1
impact_of_ball_on_court_LES4,2,1,1,3,2,1
impact_of_ball_on_racket_LES4,2,1,1,3,1,1
impact_of_ball_on_wall_LES4,2,1,1,3,1,1
individually_identifiable_claps_LES4,2,1,1,1,3,4
male_commentator_a_LES4,5,6,2,4,1,2
male_commentator_b_LES4,5,6,2,4,1,2
net_fault_beep_LES4,4,1,1,3,1,3
roar_of_crowd_LES4,1,5,3,2,3,4
rustling_LES4,7,4,1,1,3,4
scream_LES4,6,8,2,3,2,1
umpires_voice_LES4,5,2,2,3,3,3
voice_in_crowd_LES4,1,1,1,1,3,4
applause_LES5,1,4,3,2,2,4
cheering_LES5,1,2,3,2,2,4
click_LES5,2,1,1,1,3,4
crowd_babble/murmur_LES5,1,4,3,1,3,4
firework_LES5,2,1,1,1,3,4
horn_sound_LES5,4,2,1,1,3,4
party_popper_LES5,7,2,1,1,3,4
shouting_LES5,1,2,3,2,3,4
strumming_sound_LES5,7,1,4,3,3,1
voice_wooo_LES5,6,2,1,2,2,4
whining_sound_LES5,1,2,1,1,3,4
whistles_LES5,4,1,1,2,3,4
whoop_LES5,6,1,1,1,3,4
applause_LES6,1,4,3,2,2,4
brass_LES6,3,3,4,3,1,1
choir_singling_LES6,1,3,4,3,1,1
coughs_LES6,6,2,1,1,3,4
crowd_cheering_LES6,1,4,3,2,2,4
crowd_whistling_LES6,4,2,1,2,3,4
horn_LES6,4,2,1,2,3,4
individual_whistle_LES6,4,2,1,2,3,4
laughter_LES6,1,5,1,2,3,4
loud_horn_LES6,4,1,1,1,3,4
party_popper_LES6,2,2,1,1,3,4
percussion_LES6,3,3,5,3,1,1
strings_LES6,3,3,4,3,1,1
voice_of_mc_LES6,5,6,2,3,2,2
clack_LES7,7,2,1,1,3,4
click_LES7,7,7,1,3,3,4
coughs_LES7,6,2,1,1,3,4
crowd_applause_LES7,1,5,3,2,2,4
crowd_babble_LES7,1,4,3,1,3,4
crowd_chanting_LES7,1,3,3,2,3,4
crowd_cheering_LES7,1,5,3,2,2,4
crowd_groan_LES7,1,5,3,2,1,4
crowd_whsitling_LES7,1,5,1,2,3,4
female_voice_in_crowd_shouting_LES7,6,2,1,2,3,4
footsteps_LES7,7,8,1,3,3,4
grunt_LES7,7,1,1,3,2,4
impact_of_ball_on_racket_LES7,2,1,1,3,1,1
individual_whistles_LES7,4,1,1,1,3,4
individually_identifiable_claps_LES7,1,1,1,2,3,4
male_commentator_voice_a_LES7,5,6,2,4,1,2
male_commentator_voice_b_LES7,5,6,2,4,1,2
male_umprire_voice_LES7,5,2,2,3,2,3
male_voice_in_crowd_shouting_LES7,1,2,1,2,3,4
male_voice_shouting_LES7,6,1,1,1,3,4
shushing_LES7,1,4,1,1,2,3
sound_of_ball_bouncing_LES7,2,1,1,3,3,1
thud_LES7,2,1,1,1,2,1
