,p1,p2,p3,p4,p6,p7
barking_NDS1,2,2,6,1,2,3
birds_NDS1,2,2,5,2,2,3
brass_NDS1,3,4,4,4,3,2
brushing_of_ostritch_feathers_NDS1,1,1,1,1,1,4
cheetah_breathing_NDS1,1,3,3,1,1,4
cheetah_footsteps_NDS1,1,1,1,1,1,4
cheetahs_panting_NDS1,6,3,3,1,1,4
crickets_NDS1,2,2,5,2,2,3
drum_NDS1,3,4,4,4,3,2
drums_NDS1,3,4,4,4,3,2
flap_of_ear__NDS1,1,1,1,1,1,4
fly_buzzing_NDS1,1,2,6,2,2,4
hi_hats_NDS1,3,4,4,4,3,2
impact_of_cheetah_tackling_ostrich_NDS1,1,1,1,1,1,4
impact_of_ostritch_falling_NDS1,1,1,1,1,1,4
licking_sound_NDS1,1,1,1,1,1,4
narrator_NDS1,7,6,2,3,4,1
ostritch_footsteps_NDS1,1,1,1,1,1,4
ostritch_grunting_NDS1,2,3,3,1,1,4
ostritch_kick_NDS1,3,1,1,1,1,4
ostritch_pecking_grass_NDS1,1,1,1,1,1,4
ostritch_squarking_NDS1,2,3,3,1,3,4
ostritch_vocalisation_NDS1,2,3,3,1,3,4
ostritch_warbling_NDS1,2,3,3,1,1,3
pan_pipes_NDS1,3,4,4,4,3,2
plucked_instrument_NDS1,3,4,4,4,3,2
rustling_of_grass_NDS1,1,7,1,1,2,4
squawk_NDS1,2,2,6,2,2,3
strings_NDS1,3,4,4,4,3,2
synth_NDS1,3,4,4,4,3,2
whistling_NDS1,2,2,6,2,2,3
wind_NDS1,5,7,5,2,2,3
wings_flaping_NDS1,1,1,1,1,2,4
wooshing_NDS1,5,5,4,4,3,2
zebra_grunt_NDS1,2,3,3,1,1,4
big_splashes_NDS2,4,1,1,1,3,4
gentle_splashing_of_water_NDS2,4,2,6,2,2,3
gentle_swimming_sound_NDS2,4,1,1,1,1,4
impact_of_flipper_NDS2,3,1,1,1,1,4
narrator_NDS2,7,6,2,3,4,1
scraping_sound_NDS2,1,1,1,1,2,4
seal_vocalisation_NDS2,2,3,3,1,1,4
shuffling_sounds_NDS2,5,1,1,1,2,4
sliding/crunching_of_ice_NDS2,1,2,1,1,1,4
spash_of_seal_entering_ocean_NDS2,4,1,1,1,1,4
splash_as_whale_turns_NDS2,4,1,1,1,1,4
spluttering_sounds_NDS2,1,2,3,1,2,4
strings_NDS2,3,4,4,4,3,2
synth_NDS2,3,4,4,4,3,2
underwater_bubbling_NDS2,4,2,1,1,2,4
whale_blowing_NDS2,5,3,3,1,1,4
wind_NDS2,5,7,5,2,2,3
bird_cawing_NDS3,2,2,5,2,2,3
buzzing_of_fly_NDS3,1,3,3,1,2,4
creaking_NDS3,1,1,1,1,1,4
crunching_of_trap_closing_NDS3,1,3,1,1,3,4
fly_footsteps_NDS3,1,1,1,1,1,4
fly_rubbing_face_NDS3,1,1,1,1,1,4
metallic_reverb_sound_NDS3,3,5,4,4,3,2
narrator_NDS3,7,6,2,3,4,1
scraping_of_fly_legs_NDS3,1,1,1,1,1,4
scuffling_sounds_as_fly_struggles_NDS3,6,1,1,1,1,4
sucking_sound_NDS3,1,1,1,1,1,4
synth_pad_sounds_NDS3,3,5,4,4,3,2
whistling_synth_NDS3,3,5,4,4,3,2
big_cat_footsteps_NDS4,1,1,1,1,2,4
big_splash_of_hippo_emerging/fighting_NDS4,4,1,1,1,3,4
bird_call_a_NDS4,2,2,6,2,2,3
bird_call_b_NDS4,2,2,6,2,2,3
bird_call_c_NDS4,2,2,6,2,2,3
chirping_sound_NDS4,2,2,5,2,2,3
crickets_NDS4,1,2,5,2,2,3
cymbal_NDS4,3,4,4,4,3,2
digging_NDS4,1,1,1,1,1,4
dripping_sound_NDS4,4,2,1,2,2,3
drums_NDS4,3,4,4,4,3,2
guitar_NDS4,3,4,4,4,3,2
hippo_blowing_water_NDS4,4,2,1,1,2,4
hippo_footsteps_NDS4,3,1,1,1,1,4
hippo_grunt_NDS4,2,3,3,1,1,4
narrator_NDS4,7,6,2,3,4,1
percussion_NDS4,3,4,4,4,2,2
piano_NDS4,3,4,4,4,3,2
spalsh_of_water_NDS4,4,1,1,1,1,4
splash_of_hippos_footsteps_NDS4,4,1,1,1,1,4
squelch_as_hippo_moves_NDS4,4,1,1,1,1,4
strings_NDS4,3,4,4,4,2,2
synth_impact_NDS4,3,5,4,4,3,2
synth_NDS4,3,5,4,4,3,2
water_lapping_NDS4,4,1,1,1,1,4
water_splash_NDS4,4,1,1,1,2,4
