,p1,p2,p3,p4,p5,p6,p7
birdsong_SSS1,7,5,4,2,8,1,2
brushing_sound_SSS1,5,1,2,1,5,3,3
car_accelerating_SSS1,2,2,2,2,5,2,5
car_starting_SSS1,2,2,2,1,9,1,5
clinking_of_coins_in_parking_meter_SSS1,1,1,2,1,2,1,5
footsteps_SSS1,1,6,1,1,1,2,1
hf_vehicle_braking_sound_SSS1,2,2,2,1,5,2,5
hum_of_traffic_SSS1,5,3,5,2,7,3,3
impact_sound_SSS1,6,1,2,1,5,4,1
low_frequency_noise_SSS1,5,3,5,2,7,5,3
low_frequency_vehicle_sound_SSS1,5,2,2,1,7,3,5
siren_SSS1,4,4,2,2,5,2,5
voice_SSS1,3,6,1,2,4,2,2
alarm_sound_SSS2,1,4,2,2,5,4,5
bus_hissing_SSS2,2,4,2,2,9,1,5
clock_tower_bells_SSS2,4,5,5,1,8,1,5
clunk_of_manhole_cover_SSS2,2,4,2,2,9,2,1
footsteps_SSS2,1,6,1,1,4,1,1
hf_braking_sound_SSS2,2,2,2,2,9,2,5
hooting_sound_SSS2,7,6,2,2,5,3,5
hum_of_traffic_SSS2,5,3,5,2,7,3,3
vehicle_accelerating_SSS2,2,2,2,2,9,2,5
voices_SSS2,3,6,1,1,4,4,2
brass_music_SSS3,4,4,3,1,3,2,4
children's_voices_SSS3,3,6,1,1,1,3,2
child's_voice_ow_SSS3,3,6,1,1,1,2,2
clattering_pushchairs_SSS3,1,4,2,1,2,2,1
creaking_sound_SSS3,1,1,2,1,5,4,5
distant_traffic_noise_SSS3,5,3,5,2,7,1,3
female_voices_SSS3,3,6,1,1,1,1,2
impact_sound_SSS3,6,1,2,1,5,4,1
jangling_coins_SSS3,1,1,2,1,5,1,5
male_voice_singing_SSS3,5,4,1,1,3,2,4
male_voice_SSS3,3,6,1,1,1,4,2
male_voices_SSS3,3,6,1,1,1,1,2
unintelligible_voices_SSS3,1,3,1,1,6,3,2
blowing_nose_SSS4,1,6,1,2,4,2,5
clink_SSS4,1,1,2,2,5,1,1
cough_SSS4,1,6,1,2,4,2,5
distant_traffic_noise_SSS4,5,3,5,2,7,4,3
female_voices_SSS4,1,6,1,2,1,2,2
footsteps_SSS4,1,6,1,2,1,5,1
laugh_SSS4,1,6,1,2,4,2,2
laughter_SSS4,1,6,1,2,1,4,2
male_voice_SSS4,3,6,1,2,4,2,2
paper_rustling_SSS4,1,1,2,2,5,1,5
rattling_SSS4,1,1,2,2,2,3,5
rustling_SSS4,1,1,2,2,2,4,5
shuffling_footsteps_SSS4,1,6,1,2,1,3,1
till_drawer_closing_SSS4,1,1,2,2,2,1,1
unintelliglible_voices_SSS4,1,3,1,2,6,3,2
beep_SSS5,1,1,2,1,5,2,5
cough_SSS5,1,6,1,2,4,1,5
female_laugh_SSS5,1,6,1,2,4,2,2
guitar_SSS5,4,4,3,1,3,2,4
impact_SSS5,6,1,2,2,5,4,1
jangling_sound_SSS5,1,1,2,2,2,4,5
male_shop_assistant_voice_SSS5,1,6,1,1,1,1,2
phone_notification_whistle_SSS5,1,4,2,2,5,2,5
plastic_rustling_SSS5,1,1,2,2,5,3,5
stapler_clicking_SSS5,1,1,2,1,2,3,5
store_music_SSS5,4,5,3,2,8,1,4
till_drawer_closing_SSS5,1,1,2,1,2,1,1
unintelligible_voices_SSS5,1,3,1,2,6,2,2
click_SSS6,1,1,2,2,5,4,1
clunk__SSS6,1,1,2,1,5,1,1
